OBJECTID,Variable_Num,Variable,CSA,Summary_Level,Rate_per_1000_Children,Race_Sort,SHAPE_Length,SHAPE_Area
1925,2,Investigations,City of Agoura Hills,Total,22,1,0.248866000119711,0.00197937960779784
1931,2,Investigations,City of Alhambra,Total,28,1,0.208116102125526,0.00193081864761059
1937,2,Investigations,City of Arcadia,Total,20,1,0.395905636200435,0.0028121648186888
1943,2,Investigations,City of Artesia,Total,43,1,0.122431683914295,0.000409215496815672
1949,2,Investigations,City of Avalon,Total,0,,0.170660355371757,0.000744848035278319
1955,2,Investigations,City of Azusa,Total,36,1,0.479638007772194,0.00244461455633364
1961,2,Investigations,City of Baldwin Park,Total,38,1,0.26526865528021,0.00171483244784463
1967,2,Investigations,City of Bell,Total,31,1,0.201253934121175,0.000661453704892161
1973,2,Investigations,City of Bell Gardens,Total,31,1,0.119805929790615,0.000622766910320746
1979,2,Investigations,City of Bellflower,Total,36,1,0.177510117304338,0.00156057710970147
1985,2,Investigations,City of Beverly Hills,Total,23,1,0.259135618221336,0.00144538240689675
1991,2,Investigations,City of Bradbury,Total,0,,0.118354917759449,0.000496348368517903
1997,2,Investigations,City of Burbank,Total,23,1,0.308810982935504,0.00439321974495126
2003,2,Investigations,City of Calabasas,Total,22,1,0.460532421617535,0.0034834990747898
2009,2,Investigations,City of Carson,Total,32,1,0.379040967738459,0.00477766517051627
2015,2,Investigations,City of Cerritos,Total,18,1,0.361028898393152,0.00223383083280076
2021,2,Investigations,City of Claremont,Total,26,1,0.445993303169515,0.00340895760847175
2027,2,Investigations,City of Commerce,Total,32,1,0.288479377882284,0.0016564266062424
2033,2,Investigations,City of Compton,Total,49,1,0.537670060246917,0.00254953659681603
2039,2,Investigations,City of Covina,Total,39,1,0.572231709796215,0.00178194915392919
2045,2,Investigations,City of Cudahy,Total,38,1,0.10356940068465,0.000310517745965024
2051,2,Investigations,City of Culver City,Total,16,1,0.357182436142024,0.00129782732415305
2057,2,Investigations,City of Diamond Bar,Total,19,1,0.333246775658494,0.00376155002692882
2063,2,Investigations,City of Downey,Total,37,1,0.275107413903515,0.00317402393115194
2069,2,Investigations,City of Duarte,Total,27,1,0.340149395680328,0.00169390521857218
2075,2,Investigations,City of El Monte,Total,39,1,0.32272216310874,0.00243221222774987
2081,2,Investigations,City of El Segundo,Total,24,1,0.178011177328626,0.00137289316251639
2087,2,Investigations,City of Gardena,Total,36,1,0.194000326311527,0.00147824561437197
2093,2,Investigations,City of Glendale,Total,19,1,0.570119506101294,0.00775210654235384
2099,2,Investigations,City of Glendora,Total,29,1,0.499837513610344,0.00497344824909509
2105,2,Investigations,City of Hawaiian Gardens,Total,39,1,0.0780289071324579,0.000241034956289211
2111,2,Investigations,City of Hawthorne,Total,38,1,0.334048272174308,0.00153585204787499
2117,2,Investigations,City of Hermosa Beach,Total,13,1,0.0910212754174157,0.0003664536208009
2123,2,Investigations,City of Hidden Hills,Total,0,,0.12914206016803,0.000427364473917032
2129,2,Investigations,City of Huntington Park,Total,44,1,0.203985389259319,0.000761731161725046
2135,2,Investigations,City of Industry,Total,0,,1.12809816550916,0.00304317351173572
2141,2,Investigations,City of Inglewood,Total,36,1,0.271657441785006,0.00229808691929832
2147,2,Investigations,City of Irwindale,Total,28,1,0.400469901964129,0.00243791765772103
2153,2,Investigations,City of La Canada Flintridge,Total,20,1,0.278929985903409,0.00219108763886438
2159,2,Investigations,City of La Habra Heights,Total,21,1,0.218027411565366,0.00155600886967184
2165,2,Investigations,City of La Mirada,Total,19,1,0.241979514902951,0.00198121616549269
2171,2,Investigations,City of La Puente,Total,38,1,0.265199226250535,0.000878292889790431
2177,2,Investigations,City of La Verne,Total,33,1,0.347269985722932,0.00215721630634112
2183,2,Investigations,City of Lakewood,Total,25,1,0.378800226155558,0.00238471272350777
2189,2,Investigations,City of Lancaster,Total,84,1,2.06984869420164,0.0240874593086
2195,2,Investigations,City of Lawndale,Total,36,1,0.109623891117899,0.000496716738153241
2201,2,Investigations,City of Lomita,Total,40,1,0.134237246548344,0.000483609905095923
2207,2,Investigations,City of Long Beach,Total,43,1,1.74852585444658,0.0130331630678781
2213,2,Investigations,City of Lynwood,Total,35,1,0.217538696810478,0.0012228335610089
2219,2,Investigations,City of Malibu,Total,28,1,0.8024901964736,0.00497853875652733
2225,2,Investigations,City of Manhattan Beach,Total,10,1,0.148792134536836,0.000991348905340464
2231,2,Investigations,City of Maywood,Total,44,1,0.0939543944304815,0.000297679366030336
2237,2,Investigations,City of Monrovia,Total,32,1,0.436339332950627,0.0034748981710232
2243,2,Investigations,City of Montebello,Total,36,1,0.301973971997571,0.00211565888834048
2249,2,Investigations,City of Monterey Park,Total,29,1,0.246181059906158,0.00195655566357385
2255,2,Investigations,City of Norwalk,Total,30,1,0.27659803944023,0.00246330523027744
2261,2,Investigations,City of Palmdale,Total,70,1,2.11067812661048,0.0270517854002516
2267,2,Investigations,City of Palos Verdes Estates,Total,19,1,0.218910947067362,0.00120377547307774
2273,2,Investigations,City of Paramount,Total,41,1,0.205382496888307,0.00121698348366441
2279,2,Investigations,City of Pasadena,Total,24,1,0.851016209244862,0.00585756028884873
2285,2,Investigations,City of Pico Rivera,Total,38,1,0.286588141163563,0.00224968853423895
2291,2,Investigations,City of Pomona,Total,55,1,0.490877047462131,0.00581511841475453
2297,2,Investigations,City of Rancho Palos Verdes,Total,19,1,0.608673770697372,0.00339705959909641
2303,2,Investigations,City of Redondo Beach,Total,20,1,0.347330153263916,0.0015724954926216
2309,2,Investigations,City of Rolling Hills Estates,Total,27,1,0.372083175054735,0.000906364335859894
2315,2,Investigations,City of Rosemead,Total,32,1,0.28682094321792,0.00130852997602494
2321,2,Investigations,City of San Dimas,Total,36,1,0.520245272018253,0.00390050112193055
2327,2,Investigations,City of San Fernando,Total,41,1,0.111038544575074,0.000601401152021338
2333,2,Investigations,City of San Gabriel,Total,26,1,0.288650016909297,0.00104567185563316
2339,2,Investigations,City of San Marino,Total,11,1,0.173393605243347,0.000953385466381768
2345,2,Investigations,City of Santa Clarita,Total,32,1,1.10257446486729,0.0180010184454809
2351,2,Investigations,City of Santa Fe Springs,Total,45,1,0.475171523536746,0.00224164594709048
2357,2,Investigations,City of Santa Monica,Total,20,1,0.206220462192854,0.00215171691164831
2363,2,Investigations,City of Sierra Madre,Total,15,1,0.123580141790413,0.000748833768390558
2369,2,Investigations,City of Signal Hill,Total,25,1,0.171577242780986,0.000552299551810432
2375,2,Investigations,City of South El Monte,Total,36,1,0.189382889377562,0.000720692222362752
2381,2,Investigations,City of South Gate,Total,36,1,0.314449692639065,0.00185706305227982
2387,2,Investigations,City of South Pasadena,Total,20,1,0.133275857347306,0.000864091280235587
2393,2,Investigations,City of Temple City,Total,28,1,0.18420403569309,0.00101872393945482
2399,2,Investigations,City of Torrance,Total,25,1,0.418002051511802,0.00518505303279553
2405,2,Investigations,City of Walnut,Total,25,1,0.278541927103304,0.00227063307100484
2411,2,Investigations,City of West Covina,Total,34,1,0.624112077828114,0.00406412341260253
2417,2,Investigations,City of West Hollywood,Total,10,1,0.176243310194572,0.00047950088739172
2423,2,Investigations,City of Westlake Village,Total,31,1,0.196952642797329,0.00139286796726531
2429,2,Investigations,City of Whittier,Total,33,1,0.501963648640205,0.00370394163069696
2435,2,Investigations,Los Angeles - Adams-Normandie,Total,32,1,0.0404181338997855,9.37893989420926e-05
2441,2,Investigations,Los Angeles - Alsace,Total,36,1,0.0638967367120182,0.000157334542653146
2447,2,Investigations,Los Angeles - Angelino Heights,Total,0,,0.0304736068151074,3.79232449773184e-05
2453,2,Investigations,Los Angeles - Arleta,Total,33,1,0.123352644086382,0.000724110384869328
2459,2,Investigations,Los Angeles - Atwater Village,Total,24,1,0.194603532791588,0.000589454798063729
2465,2,Investigations,Los Angeles - Baldwin Hills,Total,61,1,0.157724198088036,0.000656452385479125
2471,2,Investigations,Los Angeles - Bel Air,Total,23,1,0.229297790687795,0.0016935018070072
2477,2,Investigations,Los Angeles - Beverly Crest,Total,15,1,0.336242025138784,0.0021263907331503
2483,2,Investigations,Los Angeles - Beverlywood,Total,17,1,0.10046225791266,0.000271351658803548
2489,2,Investigations,Los Angeles - Boyle Heights,Total,45,1,0.176159308514736,0.00130649759788602
2495,2,Investigations,Los Angeles - Brentwood,Total,8,1,0.298337940816024,0.00233342070496659
2501,2,Investigations,Los Angeles - Cadillac-Corning,Total,33,1,0.0327053057952572,6.09492553194173e-05
2507,2,Investigations,Los Angeles - Canoga Park,Total,42,1,0.170640621741303,0.00116598385177971
2513,2,Investigations,Los Angeles - Carthay,Total,6,1,0.083186582128218,0.000250852693076499
2519,2,Investigations,Los Angeles - Central,Total,52,1,0.0996880168769741,0.000378268661928269
2525,2,Investigations,Los Angeles - Century City,Total,12,1,0.072697091496054,0.000292611203940263
2531,2,Investigations,Los Angeles - Century Palms/Cove,Total,82,1,0.102836010841128,0.000524318812094121
2537,2,Investigations,Los Angeles - Chatsworth,Total,36,1,0.237009646625945,0.0026656443186427
2543,2,Investigations,Los Angeles - Cheviot Hills,Total,14,1,0.097335817157407,0.000438627541705268
2549,2,Investigations,Los Angeles - Chinatown,Total,38,1,0.0448376876230435,0.000101497155596012
2555,2,Investigations,Los Angeles - Cloverdale/Cochran,Total,41,1,0.076209387580779,0.000218761762629165
2561,2,Investigations,Los Angeles - Country Club Park,Total,25,1,0.0693245866324961,0.000244619150803494
2567,2,Investigations,Los Angeles - Crenshaw District,Total,31,1,0.0777880350423987,0.000299080296075901
2573,2,Investigations,Los Angeles - Crestview,Total,27,1,0.0672269280224067,0.000197200684351199
2579,2,Investigations,Los Angeles - Del Rey,Total,32,1,0.13796091115283,0.000592123893641403
2585,2,Investigations,Los Angeles - Downtown,Total,31,1,0.133069945739213,0.000526060477519661
2591,2,Investigations,Los Angeles - Eagle Rock,Total,15,1,0.18271530155642,0.00117085642356554
2597,2,Investigations,Los Angeles - East Hollywood,Total,38,1,0.0690566240822627,0.000278853816901634
2603,2,Investigations,Los Angeles - Echo Park,Total,14,1,0.0775767352351344,0.000251869918520886
2609,2,Investigations,Los Angeles - El Sereno,Total,46,1,0.172161071188234,0.00098959619515685
2615,2,Investigations,Los Angeles - Elysian Park,Total,28,1,0.1179848899867,0.000442746481512466
2621,2,Investigations,Los Angeles - Elysian Valley,Total,30,1,0.161613952455203,0.000243659578264268
2627,2,Investigations,Los Angeles - Encino,Total,17,1,0.313691814246267,0.00358185968840686
2633,2,Investigations,Los Angeles - Exposition,Total,34,1,0.0412437080401397,8.90733628311637e-05
2639,2,Investigations,Los Angeles - Exposition Park,Total,50,1,0.131143495182603,0.000642354002066832
2645,2,Investigations,Los Angeles - Faircrest Heights,Total,27,1,0.0488613065981233,0.000118775106930742
2651,2,Investigations,Los Angeles - Figueroa Park Square,Total,81,1,0.0637987000721037,0.000180502486352216
2657,2,Investigations,Los Angeles - Florence-Firestone,Total,67,1,0.124932099237284,0.000639271201577805
2663,2,Investigations,Los Angeles - Glassell Park,Total,23,1,0.153004945057148,0.000769396200233402
2669,2,Investigations,Los Angeles - Gramercy Place,Total,57,1,0.0785187925862915,0.00028930731983802
2675,2,Investigations,Los Angeles - Granada Hills,Total,25,1,0.287862264042004,0.00399232663120421
2681,2,Investigations,Los Angeles - Green Meadows,Total,72,1,0.071723109692794,0.000309855016800345
2687,2,Investigations,Los Angeles - Hancock Park,Total,8,1,0.110372171301424,0.000520113480164633
2693,2,Investigations,Los Angeles - Harbor City,Total,49,1,0.203532160863887,0.00115066063065796
2699,2,Investigations,Los Angeles - Harbor Gateway,Total,42,1,0.328563055930902,0.00127816238987483
2705,2,Investigations,Los Angeles - Harbor Pines,Total,19,1,0.0354183160141901,6.05663416009278e-05
2711,2,Investigations,Los Angeles - Harvard Heights,Total,42,1,0.0666558412586538,0.000189559873360293
2717,2,Investigations,Los Angeles - Harvard Park,Total,67,1,0.107765357767765,0.000571994605208105
2723,2,Investigations,Los Angeles - Highland Park,Total,23,1,0.168739870263284,0.0007672621915131
2729,2,Investigations,Los Angeles - Historic Filipinotown,Total,52,1,0.0655077295349348,0.00015143786564697
2735,2,Investigations,Los Angeles - Hollywood,Total,33,1,0.243480765896103,0.00112307193234303
2741,2,Investigations,Los Angeles - Hollywood Hills,Total,14,1,0.264827110381787,0.00178417062184497
2747,2,Investigations,Los Angeles - Hyde Park,Total,61,1,0.11470060057006,0.000515842042416356
2753,2,Investigations,Los Angeles - Jefferson Park,Total,39,1,0.0425803295218846,0.000113950313455811
2759,2,Investigations,Los Angeles - Koreatown,Total,32,1,0.0885516229079747,0.000368691094909489
2765,2,Investigations,Los Angeles - Lafayette Square,Total,22,1,0.0363186965429344,6.56838935014133e-05
2771,2,Investigations,Los Angeles - Lake Balboa,Total,34,1,0.185376609311672,0.000965863592151654
2777,2,Investigations,Los Angeles - Lakeview Terrace,Total,46,1,0.364393022638164,0.00151463153547042
2783,2,Investigations,Los Angeles - Leimert Park,Total,47,1,0.0841276697940224,0.000332678661595619
2789,2,Investigations,Los Angeles - Lincoln Heights,Total,37,1,0.180915569428269,0.00082630561057635
2795,2,Investigations,Los Angeles - Little Armenia,Total,37,1,0.032051814072032,6.37346197211515e-05
2801,2,Investigations,Los Angeles - Little Bangladesh,Total,22,1,0.0494254016635679,0.000126842599889516
2807,2,Investigations,Los Angeles - Little Tokyo,Total,0,,0.0345222438562452,5.6507987263607e-05
2813,2,Investigations,Los Angeles - Longwood,Total,23,1,0.0408228966920368,5.95898942973068e-05
2819,2,Investigations,Los Angeles - Los Feliz,Total,10,1,0.271143949749742,0.00264667688057604
2825,2,Investigations,Los Angeles - Manchester Square,Total,42,1,0.0554242104405737,0.000191411906890491
2831,2,Investigations,Los Angeles - Mar Vista,Total,10,1,0.154807415383396,0.000889156216559842
2837,2,Investigations,Los Angeles - Marina Peninsula,Total,0,,0.071032311824144,9.72213402231664e-05
2843,2,Investigations,Los Angeles - Melrose,Total,25,1,0.261942434455799,0.00113359483887298
2849,2,Investigations,Los Angeles - Mid-city,Total,18,1,0.0932157679603402,0.000284272129312414
2855,2,Investigations,Los Angeles - Miracle Mile,Total,25,1,0.124777768274214,0.000301727861154081
2861,2,Investigations,Los Angeles - Mission Hills,Total,35,1,0.146991267748747,0.000942037319800623
2867,2,Investigations,Los Angeles - Mt. Washington,Total,33,1,0.131918420292231,0.000597295038179212
2873,2,Investigations,Los Angeles - North Hills,Total,43,1,0.176470790480855,0.00132656801020468
2879,2,Investigations,Los Angeles - North Hollywood,Total,36,1,0.323880107891808,0.00286330081670104
2885,2,Investigations,Los Angeles - Northridge,Total,43,1,0.247096552209355,0.00243502320180227
2891,2,Investigations,Los Angeles - Pacific Palisades,Total,10,1,0.262203996273333,0.001454284234494
2897,2,Investigations,Los Angeles - Pacoima,Total,54,1,0.170638322531899,0.00150253250562569
2903,2,Investigations,Los Angeles - Palisades Highlands,Total,14,1,0.391154954308348,0.00467594268616978
