OBJECTID,Variable_Num,Variable,CSA,Summary_Level,Rate_per_1000_Children,Race_Sort,SHAPE_Length,SHAPE_Area
2909,2,Investigations,Los Angeles - Palms,Total,13,1,0.114625719114816,0.000463120774693789
2915,2,Investigations,Los Angeles - Panorama City,Total,42,1,0.153137694385131,0.00095940512599261
2921,2,Investigations,Los Angeles - Park La Brea,Total,7,1,0.0521576956770881,0.000121126828389467
2927,2,Investigations,Los Angeles - Pico-Union,Total,47,1,0.0905868943687717,0.000338808972307594
2933,2,Investigations,Los Angeles - Playa Del Rey,Total,0,,0.0946096773363374,0.000169154436746381
2939,2,Investigations,Los Angeles - Playa Vista,Total,12,1,0.119644187612411,0.000341401363451309
2945,2,Investigations,Los Angeles - Porter Ranch,Total,18,1,0.231148820165918,0.00207716375871535
2951,2,Investigations,Los Angeles - Rancho Park,Total,3,1,0.067265042786304,0.000212910386338026
2957,2,Investigations,Los Angeles - Regent Square,Total,33,1,0.0330049130716546,5.11627297806478e-05
2963,2,Investigations,Los Angeles - Reseda,Total,39,1,0.181283808234157,0.00156949757353653
2969,2,Investigations,Los Angeles - Reseda Ranch,Total,52,1,0.0594293910541036,0.000182321519133318
2975,2,Investigations,Los Angeles - Reynier Village,Total,20,1,0.0456309067084665,8.76273868392655e-05
2981,2,Investigations,Los Angeles - San Pedro,Total,53,1,0.946152690152179,0.0030018318812973
2987,2,Investigations,Los Angeles - Shadow Hills,Total,0,,0.151392652567068,0.000774656585562652
2993,2,Investigations,Los Angeles - Sherman Oaks,Total,19,1,0.290271821814578,0.00277602473862062
2999,2,Investigations,Los Angeles - Silverlake,Total,20,1,0.195586980513994,0.00096283011914224
3005,2,Investigations,Los Angeles - South Carthay,Total,24,1,0.0561451901335926,0.000134258682430454
3011,2,Investigations,Los Angeles - South Park,Total,62,1,0.0827179084433461,0.000364319850286576
3017,2,Investigations,Los Angeles - St Elmo Village,Total,40,1,0.026557317431649,3.79277514149152e-05
3023,2,Investigations,Los Angeles - Studio City,Total,13,1,0.205145949438129,0.00108800767252275
3029,2,Investigations,Los Angeles - Sun Valley,Total,39,1,0.462763881394393,0.00348846879015662
3035,2,Investigations,Los Angeles - Sunland,Total,29,1,0.341132996461394,0.00167510367128714
3041,2,Investigations,Los Angeles - Sylmar,Total,41,1,0.369119805345116,0.00300450651334884
3047,2,Investigations,Los Angeles - Tarzana,Total,32,1,0.221251690076734,0.00162655852356817
3053,2,Investigations,Los Angeles - Temple-Beaudry,Total,39,1,0.166775008590551,0.000350684909230505
3059,2,Investigations,Los Angeles - Thai Town,Total,35,1,0.0319830993222454,5.549565925075e-05
3065,2,Investigations,Los Angeles - Toluca Lake,Total,15,1,0.077429796838406,0.000261540627329514
3071,2,Investigations,Los Angeles - Toluca Terrace,Total,0,,0.0201088998205574,2.25103548157794e-05
3077,2,Investigations,Los Angeles - Toluca Woods,Total,0,,0.036853889568839,6.52072245547748e-05
3083,2,Investigations,Los Angeles - Tujunga,Total,27,1,0.219238103994367,0.00139888116667994
3089,2,Investigations,Los Angeles - University Hills,Total,19,1,0.0556838603910964,0.000119202717235391
3095,2,Investigations,Los Angeles - University Park,Total,43,1,0.105681635232811,0.000344905026552569
3101,2,Investigations,Los Angeles - Valley Glen,Total,34,1,0.102744669373922,0.000594142575967441
3107,2,Investigations,Los Angeles - Valley Village,Total,19,1,0.110273214178567,0.000517913086209556
3113,2,Investigations,Los Angeles - Van Nuys,Total,41,1,0.280275883231688,0.00186827253847969
3119,2,Investigations,Los Angeles - Venice,Total,13,1,0.131632529283548,0.000706330248542109
3125,2,Investigations,Los Angeles - Vermont Knolls,Total,78,1,0.0781571603503456,0.000268926450623763
3131,2,Investigations,Los Angeles - Vermont Square,Total,56,1,0.043309098772569,0.000112391329050453
3137,2,Investigations,Los Angeles - Vermont Vista,Total,72,1,0.109389053955746,0.000479043784512135
3143,2,Investigations,Los Angeles - Vernon Central,Total,54,1,0.120659981209288,0.000577067848172584
3149,2,Investigations,Los Angeles - Victoria Park,Total,37,1,0.0501599489497368,0.000101911353593667
3155,2,Investigations,Los Angeles - View Heights,Total,35,1,0.0510426619775541,8.69643740041964e-05
3161,2,Investigations,Los Angeles - Watts,Total,79,1,0.102531694598197,0.000527296808913081
3167,2,Investigations,Los Angeles - Wellington Square,Total,25,1,0.0423795215223555,8.87980883569578e-05
3173,2,Investigations,Los Angeles - West Adams,Total,40,1,0.110607767295601,0.000370100586657909
3179,2,Investigations,Los Angeles - West Hills,Total,26,1,0.320298076326153,0.00253318196882142
3185,2,Investigations,Los Angeles - West Los Angeles,Total,11,1,0.112030117846387,0.000541679653922235
3191,2,Investigations,Los Angeles - West Vernon,Total,63,1,0.155857947480252,0.000637508185906347
3197,2,Investigations,Los Angeles - Westchester,Total,13,1,0.34859976618331,0.00325623182024986
3203,2,Investigations,Los Angeles - Westlake,Total,55,1,0.0788227637502331,0.000290695811200703
3209,2,Investigations,Los Angeles - Westwood,Total,11,1,0.186803662974548,0.000960406545122338
3215,2,Investigations,Los Angeles - Wholesale District,Total,43,1,0.239940882392991,0.00158730421013961
3221,2,Investigations,Los Angeles - Wilmington,Total,46,1,0.330739706908486,0.00178057492576476
3227,2,Investigations,Los Angeles - Wilshire Center,Total,41,1,0.120652595734981,0.000326413717578513
3233,2,Investigations,Los Angeles - Winnetka,Total,42,1,0.168640075094795,0.00126989499740873
3239,2,Investigations,Los Angeles - Woodland Hills,Total,28,1,0.373298154224862,0.00373647782900765
3245,2,Investigations,Unincorporated - Acton,Total,49,1,0.764525896268583,0.0159379458205926
3251,2,Investigations,Unincorporated - Agua Dulce,Total,23,1,0.666379407842617,0.0108985532846995
3257,2,Investigations,Unincorporated - Altadena,Total,26,1,0.302643692285,0.00221831693028735
3263,2,Investigations,Unincorporated - Anaverde,Total,53,1,0.296572555235419,0.00301569561293198
3269,2,Investigations,Unincorporated - Angeles National Forest,Total,0,,2.91964182924233,0.175352888458245
3275,2,Investigations,Unincorporated - Arcadia,Total,32,1,0.107042075247082,0.000229922528736133
3281,2,Investigations,Unincorporated - Athens Village,Total,88,1,0.0489163227857659,0.00011383534533695
3287,2,Investigations,Unincorporated - Athens-Westmont,Total,84,1,0.161234276703127,0.000803942119650765
3293,2,Investigations,Unincorporated - Avocado Heights,Total,36,1,0.172846971853858,0.00031372583230027
3299,2,Investigations,Unincorporated - Azusa,Total,35,1,0.286350563371687,0.000398108913146537
3305,2,Investigations,Unincorporated - Bassett,Total,26,1,0.152188479863128,0.000312092094259484
3311,2,Investigations,Unincorporated - Bouquet Canyon,Total,21,1,0.518041144111758,0.0071049336674068
3317,2,Investigations,Unincorporated - Canyon Country,Total,43,1,0.315735915884608,0.00150655567312019
3323,2,Investigations,Unincorporated - Castaic,Total,32,1,1.67062807643048,0.0774608157577342
3329,2,Investigations,Unincorporated - Claremont,Total,0,,0.148556104602408,0.000253296254321282
3335,2,Investigations,Unincorporated - Covina,Total,29,1,0.39197226032047,0.000975425708309463
3341,2,Investigations,Unincorporated - Covina (Charter Oak),Total,39,1,0.305249166172701,0.000332124225615118
3347,2,Investigations,Unincorporated - Del Aire,Total,13,1,0.0521483528054014,0.000139846055337485
3353,2,Investigations,Unincorporated - Del Rey,Total,0,,0.0160048553890251,1.22647360926692e-05
3359,2,Investigations,Unincorporated - Del Sur,Total,93,1,1.07468032141088,0.00866626300882069
3365,2,Investigations,Unincorporated - Desert View Highlands,Total,82,1,0.0744808693475787,0.000112838526752682
3371,2,Investigations,Unincorporated - Duarte,Total,36,1,0.0460798451147739,8.93768708664473e-05
3377,2,Investigations,Unincorporated - East La Mirada,Total,22,1,0.0584438461336477,0.000163174403004596
3383,2,Investigations,Unincorporated - East Los Angeles,Total,43,1,0.262645520380267,0.00188140045320402
3389,2,Investigations,Unincorporated - East Pasadena,Total,16,1,0.294469170638737,0.00076270853378168
3395,2,Investigations,Unincorporated - East Rancho Dominguez,Total,35,1,0.147490912225958,0.000208446505268685
3401,2,Investigations,Unincorporated - East Whittier,Total,48,1,0.0491235038419103,0.000113783247193244
3407,2,Investigations,Unincorporated - El Camino Village,Total,32,1,0.078559753960958,0.000288459376143411
3413,2,Investigations,Unincorporated - El Monte,Total,0,,0.00481814492021017,9.89843529440521e-07
3419,2,Investigations,Unincorporated - Elizabeth Lake,Total,0,,0.31156154651133,0.00227008012740068
3425,2,Investigations,Unincorporated - Florence-Firestone,Total,56,1,0.159589830630561,0.000881407077856634
3431,2,Investigations,Unincorporated - Glendora,Total,0,,0.141369076579408,0.000141165598327879
3437,2,Investigations,Unincorporated - Hacienda Heights,Total,21,1,0.314179503715665,0.00307140229649033
3443,2,Investigations,Unincorporated - Hawthorne,Total,0,,0.0249303519690533,3.00798423460745e-05
3449,2,Investigations,Unincorporated - Hi Vista,Total,0,,0.956416907050513,0.0433562613284237
3455,2,Investigations,Unincorporated - Kagel/Lopez Canyons,Total,0,,0.420318612667206,0.00221893773466414
3461,2,Investigations,Unincorporated - La Crescenta-Montrose,Total,17,1,0.165006311561844,0.000871801405214359
3467,2,Investigations,Unincorporated - La Rambla,Total,46,1,0.0433276190502597,5.2842857920894e-05
3473,2,Investigations,Unincorporated - La Verne,Total,8,1,0.226336120506777,0.000771199448631535
3479,2,Investigations,Unincorporated - Ladera Heights,Total,31,1,0.186599794436853,0.000747009482501226
3485,2,Investigations,Unincorporated - Lake Los Angeles,Total,80,1,0.567442337066846,0.011561224527135
3491,2,Investigations,Unincorporated - Lake Manor,Total,0,,0.0926036308020218,0.000138797547463045
3497,2,Investigations,Unincorporated - Lennox,Total,36,1,0.100138316846309,0.000276783021025787
3503,2,Investigations,Unincorporated - Leona Valley,Total,53,1,0.572913773454421,0.00562460510905221
3509,2,Investigations,Unincorporated - Littlerock,Total,133,1,0.151757648251058,0.000854747605963196
3515,2,Investigations,Unincorporated - Littlerock/Juniper Hills,Total,0,,0.611271576551465,0.00894642718549808
3521,2,Investigations,Unincorporated - Littlerock/Pearblossom,Total,74,1,0.396812412394923,0.0062739265483722
3527,2,Investigations,Unincorporated - Llano,Total,0,,0.716908498313069,0.0235495432090114
3533,2,Investigations,Unincorporated - Marina del Rey,Total,24,1,0.22238917065181,0.000224742505902625
3539,2,Investigations,Unincorporated - Monrovia,Total,32,1,0.0695645427585997,0.000101944225019044
3545,2,Investigations,Unincorporated - Newhall,Total,0,,0.117320109383554,0.000327034511650123
3551,2,Investigations,Unincorporated - North Lancaster,Total,130,1,0.669746258662346,0.0115636873554676
3557,2,Investigations,Unincorporated - North Whittier,Total,18,1,0.10968128052145,0.000325611509422633
3563,2,Investigations,Unincorporated - Northeast San Gabriel,Total,28,1,0.265960433894564,0.000554723797919848
3569,2,Investigations,Unincorporated - Palmdale,Total,72,1,0.5100451915871,0.00669484164759668
3575,2,Investigations,Unincorporated - Palos Verdes Peninsula,Total,0,,0.0285448110821211,4.18401303688945e-05
3581,2,Investigations,Unincorporated - Pearblossom/Llano,Total,133,1,0.368233142613201,0.00421657597872513
3587,2,Investigations,Unincorporated - Pellissier Village,Total,0,,0.0485633434938719,7.97501190024993e-05
3593,2,Investigations,Unincorporated - Pomona,Total,36,1,0.129538336196805,0.00029797655630624
3599,2,Investigations,Unincorporated - Quartz Hill,Total,75,1,0.290102154324187,0.00103816282264018
3605,2,Investigations,Unincorporated - Rancho Dominguez,Total,68,1,0.12437294273619,0.000681503739245794
3611,2,Investigations,Unincorporated - Roosevelt,Total,72,1,0.541628484967815,0.0141634559041913
3617,2,Investigations,Unincorporated - Rosewood,Total,35,1,0.0233508970736606,2.64490875554815e-05
3623,2,Investigations,Unincorporated - Rosewood/East Gardena,Total,71,1,0.0643779660852807,0.000252707917485968
3629,2,Investigations,Unincorporated - Rosewood/West Rancho Dominguez,Total,63,1,0.0479068329661316,0.000117062494166081
3635,2,Investigations,Unincorporated - Rowland Heights,Total,38,1,0.516535188943005,0.00478647895987791
3641,2,Investigations,Unincorporated - San Francisquito Canyon/Bouquet Canyon,Total,0,,0.863155977687733,0.0158943568968908
3647,2,Investigations,Unincorporated - San Jose Hills,Total,38,1,0.138147283308622,0.000381325726814032
3653,2,Investigations,Unincorporated - San Pasqual,Total,0,,0.0435098026837972,6.4799798491402e-05
3659,2,Investigations,Unincorporated - Santa Monica Mountains,Total,10,1,1.48492153216469,0.0287520655979736
3665,2,Investigations,Unincorporated - Saugus,Total,0,,0.158195883680332,0.000481302608352729
3671,2,Investigations,Unincorporated - Saugus/Canyon Country,Total,0,,0.213870314502525,0.0012380844357767
3677,2,Investigations,Unincorporated - South Antelope Valley,Total,0,,0.340504866821923,0.00285797450910683
3683,2,Investigations,Unincorporated - South El Monte,Total,0,,0.0269231175961076,3.28892494036896e-05
3689,2,Investigations,Unincorporated - South San Gabriel,Total,17,1,0.174441698536934,0.000358376430697878
3695,2,Investigations,Unincorporated - South Whittier,Total,39,1,0.238222989843543,0.00135113885573707
3701,2,Investigations,Unincorporated - Southeast Antelope Valley,Total,0,,0.205115311265505,0.00111382184095603
3707,2,Investigations,Unincorporated - Stevenson Ranch,Total,15,1,0.5470073254955,0.0108599632444166
3713,2,Investigations,Unincorporated - Sun Village,Total,54,1,0.272398828597837,0.00283478744738399
3719,2,Investigations,Unincorporated - Sunrise Village,Total,0,,0.0240717175189222,2.89577905046769e-05
3725,2,Investigations,Unincorporated - Twin Lakes/Oat Mountain,Total,0,,0.412212951950637,0.00506556173656181
3731,2,Investigations,Unincorporated - Val Verde,Total,39,1,0.325927386867487,0.00459093158790009
3737,2,Investigations,Unincorporated - Valencia,Total,0,,0.0697962072296177,0.00017024297136003
3743,2,Investigations,Unincorporated - Valinda,Total,40,1,0.16265655113886,0.000512999765628884
3749,2,Investigations,Unincorporated - View Park/Windsor Hills,Total,29,1,0.110428329410128,0.000468259938200585
3755,2,Investigations,Unincorporated - Walnut Park,Total,46,1,0.0725441791695453,0.000189106719601764
3761,2,Investigations,Unincorporated - West Antelope Valley,Total,0,,1.76370705743916,0.0587422789207006
3767,2,Investigations,Unincorporated - West Carson,Total,19,1,0.166267401370902,0.000625372560857292
3773,2,Investigations,Unincorporated - West LA,Total,0,,0.0880150163677578,0.000228081343773041
3779,2,Investigations,Unincorporated - West Puente Valley,Total,40,1,0.0783793987534458,0.00019975546610438
3785,2,Investigations,Unincorporated - West Rancho Dominguez,Total,59,1,0.0310726994472164,4.63439213520285e-05
3791,2,Investigations,Unincorporated - West Whittier/Los Nietos,Total,36,1,0.223709444208896,0.000656099518354901
3797,2,Investigations,Unincorporated - Westfield/Academy Hills,Total,0,,0.0540133971563723,0.000131931471180989
3803,2,Investigations,Unincorporated - Westhills,Total,0,,0.0357876192216137,5.62528743745936e-05
3809,2,Investigations,Unincorporated - White Fence Farms,Total,63,1,0.204533491857316,0.00146417897291319
3815,2,Investigations,Unincorporated - Whittier,Total,23,1,0.275006458393404,0.00121302514148134
3821,2,Investigations,Unincorporated - Whittier Narrows,Total,0,,0.22249327034737,0.000752435061069071
3827,2,Investigations,Unincorporated - Willowbrook,Total,63,1,0.217665414382678,0.000870851339451289
3833,2,Investigations,Unincorporated - Wiseburn,Total,20,1,0.0535564211014082,0.000116861302360609
