name,total
ABC Unified,113
Acton-Agua Dulce Unified,250
Alhambra Unified,60
Antelope Valley Union High,609
Arcadia Unified,17
Azusa Unified,112
Baldwin Park Unified,242
Bassett Unified,35
Bellflower Unified,108
Beverly Hills Unified,5
Bonita Unified,163
Burbank Unified,30
Castaic Union,15
Centinela Valley Union High,45
Charter Oak Unified,53
Claremont Unified,38
Compton Unified,430
Covina-Valley Unified,99
Culver City Unified,25
Downey Unified,193
Duarte Unified,112
East Whittier City Elementary,68
Eastside Union Elementary,171
El Monte City,61
El Monte Union High,100
El Rancho Unified,95
El Segundo Unified,8
Garvey Elementary,20
Glendale Unified,66
Glendora Unified,52
Gorman Joint,10
Hacienda la Puente Unified,229
Hawthorne,89
Hermosa Beach City Elementary,1
Hughes-Elizabeth Lakes Union Elementary,1
Inglewood Unified,114
Keppel Union Elementary,62
La Canada Unified,3
Lancaster Elementary,694
Las Virgenes Unified,20
Lawndale Elementary,26
Lennox,30
Little Lake City Elementary,38
Long Beach Unified,753
Los Angeles County Office of Education,801
Los Angeles Unified,5825
Los Nietos,24
Lowell Joint,16
Lynwood Unified,162
Manhattan Beach Unified,6
Monrovia Unified,30
Montebello Unified,201
Mountain View Elementary,76
Newhall,30
Norwalk-La Mirada Unified,150
Palmdale Elementary,745
Palos Verdes Peninsula Unified,8
Paramount Unified,140
Pasadena Unified,438
Pomona Unified,387
Redondo Beach Unified,17
Rosemead Elementary,10
Rowland Unified,116
San Gabriel Unified,27
San Marino Unified,5
Santa Monica-Malibu Unified,22
Saugus Union,42
SBE - Celerity Himalia,1
SBE - The School of Arts and Enterprise,7
South Pasadena Unified,11
South Whittier Elementary,22
Sulphur Springs Union,35
Temple City Unified,22
Torrance Unified,112
Valle Lindo Elementary,15
Walnut Valley Unified,47
West Covina Unified,123
Westside Union Elementary,251
Whittier City Elementary,66
Whittier Union High,110
William S. Hart Union High,124
Wilsona Elementary,41
Wiseburn Unified,6